Symbol,Currency,Action,Volume,PRICE,FEE,FEECURRENCY,DATE,Source
XMR,BTC,buy,0.91862107,0.02683,-0.00183724,XMR,2018-01-30 21:07:48,Bitfinex
XMR,BTC,buy,1.56115216,0.026831,-0.0031223,XMR,2018-01-30 21:07:48,Bitfinex
ETH,BTC,sell,-0.27098415,0.09865,-0.00002673,BTC,2018-01-28 07:14:31,Bitfinex
ETH,BTC,sell,-0.40588,0.09865,-0.00004004,BTC,2018-01-28 07:14:27,Bitfinex
XMR,BTC,buy,0.53473646,0.028577,-0.00053474,XMR,2018-01-23 11:31:09,Bitfinex
XMR,BTC,buy,0.74784354,0.028577,-0.00074784,XMR,2018-01-23 11:31:03,Bitfinex
XMR,BTC,buy,0.06597,0.028577,-0.00006597,XMR,2018-01-23 11:31:00,Bitfinex
XMR,BTC,buy,0.06597,0.028577,-0.00006597,XMR,2018-01-23 11:31:00,Bitfinex
XMR,BTC,buy,0.10137,0.028577,-0.00010137,XMR,2018-01-23 11:30:59,Bitfinex
XMR,BTC,buy,0.10137,0.028577,-0.00010137,XMR,2018-01-23 11:30:59,Bitfinex
XMR,BTC,buy,0.10137,0.028577,-0.00010137,XMR,2018-01-23 11:30:59,Bitfinex
XMR,BTC,buy,0.10137,0.028577,-0.00010137,XMR,2018-01-23 11:30:59,Bitfinex
XMR,BTC,buy,0.18,0.028577,-0.00018,XMR,2018-01-23 11:30:59,Bitfinex
ETH,BTC,buy,0.67754169,0.090969,-0.00067754,ETH,2018-01-23 11:09:16,Bitfinex
IOT,BTC,sell,-540.1167645,0.00022015,-0.00011891,BTC,2018-01-22 22:02:44,Bitfinex
XRP,BTC,buy,20.77135912,0.00013184,-0.02077136,XRP,2018-01-15 10:14:06,Bitfinex
XRP,BTC,buy,45.35491996,0.00013184,-0.04535492,XRP,2018-01-15 10:14:01,Bitfinex
XRP,BTC,buy,96.06493883,0.00013184,-0.09606494,XRP,2018-01-15 10:10:27,Bitfinex
XRP,BTC,buy,30.297243,0.00013184,-0.03029724,XRP,2018-01-15 10:09:18,Bitfinex
XRP,BTC,buy,105.004656,0.00013184,-0.10500466,XRP,2018-01-15 10:01:09,Bitfinex
BTG,BTC,sell,-2,0.019533,-0.00003907,BTC,2018-01-13 12:13:52,Bitfinex
IOT,BTC,buy,196.0542449,0.000244,-0.39210849,IOT,2018-01-10 09:40:25,Bitfinex
XMR,BTC,sell,-0.71152542,0.027956,-0.00001989,BTC,2018-01-09 02:21:58,Bitfinex
XRP,BTC,buy,162.4643913,0.00015487,-0.16246439,XRP,2018-01-06 22:08:50,Bitfinex
LTC,BTC,sell,-1.36442835,0.01846,-0.00002519,BTC,2018-01-06 04:14:47,Bitfinex
ETH,BTC,sell,-0.00167481,0.064571,-1.10E-07,BTC,2018-01-04 11:15:37,Bitfinex
ETH,BTC,sell,-0.43444341,0.064571,-0.00176482,LTC,2018-01-04 11:15:27,Bitfinex
ETH,BTC,buy,0.43611822,0.05422,-0.00002365,BTC,2018-01-02 19:27:44,Bitfinex
DSH,BTC,sell,-0.3,0.0789,-0.00002367,BTC,2018-01-02 02:13:49,Bitfinex
LTC,BTC,buy,1.36760196,0.01628,-0.00092622,XMR,2018-01-01 01:40:16,Bitfinex
XRP,BTC,buy,254.7226516,0.000149,-0.00007591,BTC,2017-12-30 02:18:10,Bitfinex
XRP,BTC,buy,17.55003784,0.00015151,-0.00000532,BTC,2017-12-30 02:17:16,Bitfinex
XRP,BTC,buy,1789.743704,0.00015152,-0.00054236,BTC,2017-12-30 02:17:16,Bitfinex
XMR,BTC,buy,0.71245164,0.023417,-0.00001668,BTC,2017-12-28 02:50:08,Bitfinex
XRP,BTC,sell,-1194.861234,0.00007531,-0.00008998,BTC,2017-12-27 16:35:08,Bitfinex
XRP,BTC,sell,-1519.552368,0.00007531,-0.00011444,BTC,2017-12-27 16:35:07,Bitfinex
DSH,BTC,buy,0.3,0.072673,-0.0000218,BTC,2017-12-26 15:24:18,Bitfinex
XRP,BTC,buy,776.8942647,0.000068,-0.77689426,XRP,2017-12-26 04:40:26,Bitfinex
XRP,BTC,buy,672.7590377,0.00006841,-0.67275904,XRP,2017-12-26 04:28:53,Bitfinex
XRP,BTC,buy,266.6350568,0.00006841,-0.26663506,XRP,2017-12-26 04:28:52,Bitfinex
BTG,BTC,buy,2,0.018641,-0.00003728,BTC,2017-12-26 04:16:47,Bitfinex
XRP,BTC,buy,291.0175194,0.0000712,-0.00002072,BTC,2017-12-26 00:11:02,Bitfinex
XRP,BTC,buy,401.23,0.0000712,-0.00002857,BTC,2017-12-26 00:11:00,Bitfinex
XRP,BTC,buy,149.2839402,0.0000712,-0.00001063,BTC,2017-12-26 00:11:00,Bitfinex
XRP,BTC,buy,158.4685404,0.0000712,-0.15846854,XRP,2017-12-26 00:10:53,Bitfinex
ETH,BTC,sell,-0.94710949,0.052559,-0.00004978,BTC,2017-12-25 20:16:57,Bitfinex
ETH,BTC,sell,-0.78108125,0.05231,-0.00004086,BTC,2017-12-25 02:06:06,Bitfinex
ETH,BTC,sell,-0.596337,0.05231,-0.00003119,BTC,2017-12-25 02:06:06,Bitfinex
ETH,BTC,sell,-0.62258175,0.05231,-0.00003257,BTC,2017-12-25 02:06:06,Bitfinex
XRP,BTC,buy,266.6648751,0.00006326,-0.26666488,XRP,2017-12-22 07:22:27,Bitfinex
DAT,BTC,sell,-1000,0.00001687,-0.00033508,ETH,2017-12-21 22:24:12,Bitfinex
XRP,BTC,buy,421.6689378,0.00006457,-0.42166894,XRP,2017-12-21 17:39:31,Bitfinex
XMR,BTC,sell,-0.74485089,0.026834,-0.00001999,BTC,2017-12-21 17:23:23,Bitfinex
XMR,BTC,sell,-0.25514911,0.026834,-0.00000685,BTC,2017-12-21 17:20:03,Bitfinex
XRP,BTC,buy,84.91920739,0.00006226,-0.16983841,XRP,2017-12-21 15:27:12,Bitfinex
XRP,BTC,buy,711.2990756,0.00006238,-1.42259815,XRP,2017-12-21 15:27:12,Bitfinex
XRP,BTC,buy,55.99,0.00006747,-0.11198,XRP,2017-12-21 15:02:28,Bitfinex
XRP,BTC,buy,145.3489706,0.00006749,-0.29069794,XRP,2017-12-21 15:02:28,Bitfinex
XRP,BTC,buy,119.0448462,0.00006699,-0.23808969,XRP,2017-12-21 14:44:49,Bitfinex
XRP,BTC,buy,1740.009916,0.000067,-3.48001983,XRP,2017-12-21 14:44:49,Bitfinex
XRP,BTC,buy,968.4443946,0.0000665,-1.93688879,XRP,2017-12-21 14:43:20,Bitfinex
DAT,BTC,sell,-714.5629073,0.00001656,-0.00001183,BTC,2017-12-21 08:06:29,Bitfinex
DAT,BTC,sell,-513.4661836,0.00001656,-0.0000085,BTC,2017-12-21 08:06:11,Bitfinex
ETH,BTC,sell,-1.64002102,0.049948,-0.00008192,BTC,2017-12-21 05:06:38,Bitfinex
XMR,BTC,sell,-1.5,0.0285,-0.00004275,BTC,2017-12-20 23:36:31,Bitfinex
ZEC,BTC,sell,-1,0.039159,-0.00003916,BTC,2017-12-20 16:58:47,Bitfinex
XMR,BTC,sell,-0.443285,0.023184,-0.00001028,BTC,2017-12-20 03:59:37,Bitfinex
XMR,BTC,sell,-0.69530412,0.022174,-0.00001542,BTC,2017-12-20 01:54:02,Bitfinex
ETH,BTC,buy,0.27808505,0.046459,-0.00027809,ETH,2017-12-19 19:32:46,Bitfinex
ETH,BTC,buy,1.37471914,0.046459,-0.00137472,ETH,2017-12-19 19:32:34,Bitfinex
ETH,BTC,buy,1.29313578,0.046394,-0.00011999,BTC,2017-12-19 19:22:00,Bitfinex
DAT,BTC,buy,2228.029091,0.00001375,-0.00003064,BTC,2017-12-19 11:11:32,Bitfinex
XMR,BTC,sell,-0.3,0.020486,-0.00000615,BTC,2017-12-19 07:35:08,Bitfinex
XMR,BTC,sell,-0.3,0.020486,-0.00000615,BTC,2017-12-19 07:35:08,Bitfinex
XMR,BTC,sell,-0.1,0.020486,-0.00000205,BTC,2017-12-19 07:35:08,Bitfinex
XMR,BTC,sell,-0.27174401,0.020486,-0.00000557,BTC,2017-12-19 07:35:08,Bitfinex
XMR,BTC,sell,-0.1,0.020486,-0.00000205,BTC,2017-12-19 07:35:07,Bitfinex
XMR,BTC,sell,-0.3,0.020486,-0.00000615,BTC,2017-12-19 07:35:07,Bitfinex
XMR,BTC,sell,-0.3,0.020486,-0.00000615,BTC,2017-12-19 07:35:07,Bitfinex
XMR,BTC,sell,-0.3,0.020486,-0.00000615,BTC,2017-12-19 07:35:07,Bitfinex
XMR,BTC,sell,-0.3,0.020486,-0.00000615,BTC,2017-12-19 07:35:07,Bitfinex
XMR,BTC,sell,-0.3,0.020486,-0.00000615,BTC,2017-12-19 07:34:54,Bitfinex
XMR,BTC,sell,-0.1,0.020486,-0.00000205,BTC,2017-12-19 07:34:54,Bitfinex
XMR,BTC,sell,-0.1,0.020486,-0.00000205,BTC,2017-12-19 07:34:54,Bitfinex
XMR,BTC,sell,-0.3,0.020486,-0.00000615,BTC,2017-12-19 07:34:54,Bitfinex
XMR,BTC,sell,-0.18728942,0.020486,-0.00000384,BTC,2017-12-19 07:33:22,Bitfinex
XMR,BTC,sell,-0.3,0.020486,-0.00000615,BTC,2017-12-19 07:33:22,Bitfinex
XMR,BTC,sell,-0.1,0.020486,-0.00000205,BTC,2017-12-19 07:33:22,Bitfinex
XMR,BTC,sell,-0.1,0.020486,-0.00000205,BTC,2017-12-19 07:33:22,Bitfinex
DSH,BTC,sell,-0.21048976,0.063335,-0.00001333,BTC,2017-12-18 22:45:52,Bitfinex
XMR,BTC,buy,0.69600012,0.016098,-0.000696,XMR,2017-12-15 02:51:02,Bitfinex
DSH,BTC,sell,-0.18929954,0.059247,-0.00001122,BTC,2017-12-14 03:57:11,Bitfinex
XRP,BTC,sell,-1000,0.00003607,-0.00003607,BTC,2017-12-13 08:09:14,Bitfinex
XRP,BTC,sell,-1000,0.00003168,-0.00003168,BTC,2017-12-13 07:55:02,Bitfinex
EOS,BTC,sell,-79.92,0.00037223,-0.00002975,BTC,2017-12-13 06:50:26,Bitfinex
EOS,BTC,sell,-25.76615251,0.0003369,-0.00000868,BTC,2017-12-13 06:11:00,Bitfinex
XRP,BTC,sell,-521.3022,0.00002729,-0.00038473,ETH,2017-12-12 22:10:20,Bitfinex
XMR,BTC,buy,2.32023984,0.01576,-0.00232024,XMR,2017-12-11 02:22:41,Bitfinex
XMR,BTC,buy,1.07707421,0.016857,-0.00107707,XMR,2017-12-10 03:53:09,Bitfinex
BTG,BTC,sell,-2.05695928,0.01553,-0.00003194,BTC,2017-12-09 23:05:45,Bitfinex
BTG,BTC,sell,-0.15,0.01553,-0.00000233,BTC,2017-12-09 23:00:01,Bitfinex
BTG,BTC,sell,-0.15,0.01553,-0.00000233,BTC,2017-12-09 22:58:37,Bitfinex
LTC,BTC,sell,-1.99824143,0.0090952,-0.00001817,BTC,2017-12-09 04:27:05,Bitfinex
IOT,BTC,buy,50.93597675,0.00029255,-0.05093598,IOT,2017-12-07 00:40:24,Bitfinex
EOS,BTC,buy,80,0.00032678,-0.08,EOS,2017-12-06 22:55:01,Bitfinex
XMR,BTC,buy,0.29997612,0.018551,-0.00029998,XMR,2017-12-06 22:53:16,Bitfinex
XMR,BTC,buy,0.06550606,0.018551,-0.00006551,XMR,2017-12-06 22:52:53,Bitfinex
IOT,BTC,sell,-41.44490578,0.00036037,-0.00001494,BTC,2017-12-06 21:43:00,Bitfinex
XMR,BTC,buy,0.12966173,0.019957,-0.00012966,XMR,2017-12-06 20:22:22,Bitfinex
XMR,BTC,buy,0.31374359,0.019957,-0.00000626,BTC,2017-12-06 20:22:21,Bitfinex
IOT,BTC,buy,293.8634508,0.00029396,-0.29386345,IOT,2017-12-06 20:11:06,Bitfinex
IOT,BTC,buy,41.44490578,0.0003131,-0.00001298,BTC,2017-12-06 19:15:29,Bitfinex
DSH,BTC,buy,0.21070046,0.0556,-0.0002107,DSH,2017-12-06 17:28:38,Bitfinex
DSH,BTC,buy,0.18929954,0.0556,-0.00001053,BTC,2017-12-06 17:28:06,Bitfinex
IOT,BTC,sell,-435.1149254,0.00036029,-0.00015677,BTC,2017-12-06 17:26:13,Bitfinex
EOS,BTC,buy,25.76615251,0.00032286,-0.00000832,BTC,2017-12-06 15:37:47,Bitfinex
BTG,BTC,sell,-0.60554417,0.02493,-0.00175857,LTC,2017-12-05 17:22:15,Bitfinex
IOT,BTC,buy,67.56426223,0.00025851,-0.13512852,IOT,2017-12-04 18:34:03,Bitfinex
LTC,BTC,sell,-2,0.0086966,-0.00003479,BTC,2017-12-04 18:33:21,Bitfinex
IOT,BTC,buy,147.1010874,0.00025398,-0.29420217,IOT,2017-12-04 16:13:58,Bitfinex
IOT,BTC,buy,220.8789,0.00013107,-0.00002895,BTC,2017-12-01 22:45:02,Bitfinex
EOS,BTC,sell,-100,0.00029005,-0.00002901,BTC,2017-11-30 09:13:11,Bitfinex
EOS,BTC,buy,100,0.0002727,-0.00002727,BTC,2017-11-29 19:53:55,Bitfinex
ETH,BTC,buy,0.9837,0.044311,-0.0009837,ETH,2017-11-29 19:46:45,Bitfinex
XMR,BTC,sell,-3.5593,0.019943,-0.00007098,BTC,2017-11-29 00:08:14,Bitfinex
ZEC,BTC,buy,1,0.035111,-0.00003511,BTC,2017-11-27 02:13:05,Bitfinex
XMR,BTC,buy,3.5588,0.017,-0.0035588,XMR,2017-11-27 01:37:39,Bitfinex
XRP,BTC,buy,2521.3022,0.00002651,-0.00006684,BTC,2017-11-26 18:01:00,Bitfinex
ETH,BTC,buy,0.9971,0.04504,-0.0019942,ETH,2017-11-22 20:49:34,Bitfinex
ETH,BTC,buy,1.4572,0.04504,-0.00013126,BTC,2017-11-22 20:48:24,Bitfinex
XMR,BTC,buy,5.9318612,0.015071,-0.00593186,XMR,2017-11-16 22:01:20,Bitfinex
XMR,BTC,buy,1.0681388,0.015071,-0.0000161,BTC,2017-11-16 18:23:43,Bitfinex
IOT,BTC,sell,-1000,0.0001,-0.0001,BTC,2017-11-12 00:10:03,Bitfinex
IOT,BTC,sell,-1275.9309,0.00009123,-0.0001164,BTC,2017-11-11 17:35:23,Bitfinex
IOT,BTC,buy,2278.2168,0.00008126,-0.00018513,BTC,2017-10-19 04:46:08,Bitfinex
